comp,x
0,000000000000
1,100000000110
0,000000000000
1,001010000110
2,101101101011
1,110010110100
2,000101111111
0,000000000000
1,010101101100
1,000001110000
1,101101010010
0,000000000000
0,000000000000
0,000000000000
2,111111010111
0,000000000000
0,000000000000
1,000011001010
0,000000000000
2,011011010110
0,000000000000
1,101110100001
0,000000000000
0,000000000000
1,100010011000
0,000000000000
1,100000010011
2,111011110011
0,000000000000
2,110100011111
2,111111111111
2,110110111111
0,000000000000
0,000000000000
1,101010010110
1,010110010000
2,101010010101
0,000000000000
0,000000000000
0,000000000000
0,000000000000
0,000000000000
1,011100010010
1,000100010111
0,000000000000
2,011100011111
1,000110111111
0,000000000000
0,000000000000
2,111111110111
1,001001001011
1,000100101100
2,101011111111
2,100111110111
1,000111001000
2,111110111010
1,100011100110
0,000000000000
0,000000000000
2,111111011101
1,100011101000
2,110111111110
1,000000110110
2,111111111111
1,001101111101
1,001001110101
0,000000000000
0,000000000000
0,000000000000
1,010010100011
0,000000000000
2,111111111101
2,111111111111
1,101010000111
0,000000000000
0,000000000000
1,010100000001
0,000000000000
0,000000000000
1,100101000000
2,110001111011
2,111011111111
1,110100001100
2,111111111101
1,111111100110
2,101110110111
2,110010111101
1,001010110001
0,000000000000
0,000000000000
0,000000000000
1,000011111011
1,111010000000
0,000000000000
1,111100001011
1,010000001001
0,000000000000
2,110011010111
1,011100000010
0,000000000000
2,111111011101
2,110001101010
1,110000100010
1,010100011100
2,110111111111
0,000000000000
2,110101111101
2,010101111101
0,000000000000
1,000011110000
1,010001110000
1,111001100011
1,000011100110
1,011001010000
1,000001001000
1,001100101111
2,011111111110
1,010000110000
2,101111111111
2,111101110011
2,001100100011
0,000000000000
1,111110001000
0,000000000000
2,111000111111
0,000000000000
1,010011100110
2,111110111001
1,000000000001
1,001001111110
2,001111110111
2,111101111011
0,000000000000
1,100000111011
2,111111111101
2,111111100011
2,100110101011
2,111111111111
0,000000000000
0,000000000000
1,000000010101
1,110100000000
0,000000000000
1,100000100001
0,000000000000
2,111101011111
1,100001111000
1,100100010001
0,000000000000
2,111011111010
1,010101011000
1,001000000000
1,100000001110
2,111110010001
2,101111111111
0,000000000000
2,111101111111
1,000100100100
1,010011110000
2,111110111111
1,100000011011
0,000000000000
0,000000000000
2,111111111111
1,011101100110
2,110010101110
0,000000000000
0,000000000000
2,111011111111
2,000001111011
0,000000000000
1,001000010010
2,101110110111
0,000000000000
2,111101111101
1,010110001000
1,001101000100
0,000000000000
2,110101011101
2,111111101011
1,101011111100
0,000000000000
1,000110100111
0,000000000000
1,001011010110
2,111001001110
2,111111101111
2,111011110111
0,000000000000
1,010011010010
0,000000000000
0,000000000000
0,000000000000
0,000000000000
0,000000000000
1,110011101100
1,000001000010
2,111011111101
0,000000000000
1,000100101001
0,000000000000
0,000000000000
0,000000000000
1,111001111000
1,111101010010
1,001010001110
2,100110011111
0,000000000000
0,000000000000
0,000000000000
2,101111000111
0,000000000000
0,000000000000
1,110110100100
1,001100111000
0,000000000000
1,000000011111
1,101001001010
2,111111110111
1,000100011001
2,111100001111
1,000011001100
2,111111110101
2,110101111111
2,101110010110
2,111111110111
1,011101010011
1,101000001001
1,000001011000
1,001011001101
0,000000000000
1,000100101110
0,000000000000
1,100000110000
0,000000000000
1,010110111011
1,000110110010
0,000000000000
1,011000111000
2,011100111110
2,111111011111
0,000000000000
1,100010000111
1,000101001000
0,000000000000
2,111111011000
0,000000000000
1,100010011101
0,000000000000
0,000000000000
1,011110101100
1,010101100001
1,110101101111
2,001111110111
2,111111111110
1,000110100000
2,101111101111
2,111111101111
0,000000000000
1,000100100111
1,010001100110
2,110111110110
0,000000000000
1,001000000101
0,000000000000
0,000000000000
0,000000000000
1,100011101101
2,111111111111
2,111111111111
0,000000000000
2,111111111101
0,000000000000
1,011101000010
2,111111111111
2,010101111011
0,000000000000
0,000000000000
1,001001111011
0,000000000000
2,111111101011
0,000000000000
2,110111101011
1,110011000010
0,000000000000
1,100010011010
2,111011101111
1,101010010001
0,000000000000
1,000010111000
1,001100100111
1,100101001011
0,000000000000
0,000000000000
0,000000000000
0,000000000000
0,000000000000
2,111101111111
1,111111000001
0,000000000000
2,111111111011
0,000000000000
0,000000000000
1,001001100011
0,000000000000
0,000000000000
1,010100001111
2,011011110111
1,001101110100
1,000111000100
2,111011100110
0,000000000000
1,011100111000
1,110100000000
2,101110111111
1,010010000110
0,000000000000
1,101001110101
2,111111110111
2,110010111011
1,101110001101
1,101000100010
1,111001111110
2,111111011111
0,000000000000
1,000000001111
0,000000000000
0,000000000000
2,011111111011
1,100110011110
2,011101111000
0,000000000000
0,000000000000
2,111111110111
2,101011111111
2,011001011011
1,100101011011
2,101011111111
1,100111101110
0,000000000000
1,101100001000
0,000000000000
2,111101111111
0,000000000000
2,010101101101
0,000000000000
0,000000000000
1,001111001010
0,000000000000
1,100011100111
2,111101011111
2,111101111111
1,100100001101
1,110100010000
2,110110111111
0,000000000000
2,011111111111
2,111111111111
1,001001111100
1,101001001010
1,000010001101
2,111011110101
1,100101000000
1,000001010100
2,111101011011
1,010001000100
2,111111110011
0,000000000000
1,000100111000
0,000000000000
1,011100000000
2,110111111111
1,010011111010
2,101111111011
1,010000110011
2,001111111111
0,000000000000
0,000000000000
1,011111011001
1,011100101000
1,000110001010
0,000000000000
2,010111111111
2,111011011111
1,001010001100
1,010110010100
1,101100110100
1,001100100111
0,000000000000
0,000000000000
1,100010000000
2,111011011111
0,000000000000
2,111110111011
2,011110111111
2,111111111011
0,000000000000
0,000000000000
2,111011111101
1,000111010110
1,010000111000
0,000000000000
2,111111111110
0,000000000000
0,000000000000
2,111101011101
0,000000000000
0,000000000000
2,111101110101
2,011111111011
0,000000000000
1,001101011111
1,001010000001
0,000000000000
0,000000000000
0,000000000000
0,000000000000
0,000000000000
0,000000000000
2,111111111111
0,000000000000
0,000000000000
1,001000100100
2,111111111111
0,000000000000
1,010001000110
2,111111011111
0,000000000000
2,111110101010
0,000000000000
1,110101000110
1,000110010110
0,000000000000
0,000000000000
1,100000010011
0,000000000000
0,000000000000
2,111111010110
0,000000000000
0,000000000000
1,110010000010
0,000000000000
1,010110010000
1,000110101110
1,100001001010
1,110000010110
0,000000000000
2,111111111111
1,010000000110
1,000101011110
0,000000000000
2,101111111111
0,000000000000
0,000000000000
0,000000000000
1,101100000001
2,111111111111
0,000000000000
1,110010100000
1,010000001001
2,101111110111
1,011001011101
2,111110111111
1,000011010000
0,000000000000
1,011101100100
1,100010010101
0,000000000000
0,000000000000
1,110011000100
0,000000000000
1,010110100000
1,001001000101
0,000000000000
2,111111100110
2,010111111111
1,101001000110
1,000010010111
0,000000000000
1,010010010010
1,010010111001
1,100000010000
1,010011110001
0,000000000000
0,000000000000
0,000000000000
0,000000000000
0,000000000000
2,001110111110
0,000000000000
1,101110001111
2,111111111111
0,000000000000
0,000000000000
2,011011111111
0,000000000000
2,111110011110
2,111111110010
0,000000000000
2,101111111111
0,000000000000
2,111111111111
0,000000000000
2,111111111011
0,000000000000
2,101111111111
0,000000000000
1,101010110110
2,111110001100
0,000000000000
2,110101111100
1,001110000000
0,000000000000
1,011011110100
2,111011111111
2,111111111000
0,000000000000
2,111000011011
0,000000000000
1,001011100010
1,000001011010
2,100111110111
0,000000000000
1,011010000000
1,110010010110
0,000000000000
1,000100110001
0,000000000000
0,000000000000
1,001010001000
1,000100001010
1,110110100110
1,001011101100
2,111010111111
1,010101111010
2,011111101011
2,001111111111
2,111010111111
0,000000000000
0,000000000000
1,011101100101
0,000000000000
1,111110011100
0,000000000000
1,011000000010
2,111111101111
1,100101110111
2,111111101101
2,101100111110
1,001000101101
0,000000000000
1,111001001111
1,010011100110
1,100101101000
2,111101111001
2,111111111101
1,011001010100
0,000000000000
2,011111101111
0,000000000000
1,010001000110
1,000000100100
0,000000000000
2,111111111011
1,100111011010
2,111001110010
1,100010100010
0,000000000000
2,111111111100
0,000000000000
1,101100000100
1,010000000010
2,111111110001
0,000000000000
1,000100001000
2,111111010111
0,000000000000
2,111111111101
2,110111111111
0,000000000000
2,010001101110
0,000000000000
1,101100100011
1,100111111000
2,111111111101
1,111000000110
1,000101001110
2,111001111111
1,001110100111
2,111111111111
1,001000110011
1,011100111001
0,000000000000
2,111100110111
0,000000000000
0,000000000000
2,101111010010
2,001111110101
0,000000000000
1,101010010000
2,101110111111
2,101100111111
2,111111111111
1,000011001000
1,100100000100
1,111010100111
1,100100100000
2,111111111111
0,000000000000
2,110111111110
1,010000101011
2,100101111011
2,101101111111
0,000000000000
0,000000000000
1,000000000001
0,000000000000
2,101011111111
2,011111110111
0,000000000000
0,000000000000
0,000000000000
0,000000000000
1,010100010110
0,000000000000
1,000101001010
1,000100110101
0,000000000000
1,000101100100
2,111111111110
0,000000000000
2,101111001010
0,000000000000
1,011110110101
0,000000000000
2,101100011111
2,101111111111
1,111100000000
2,111101111111
1,010110000000
0,000000000000
1,001000000001
0,000000000000
2,111010111101
1,010000001000
1,110011011001
2,101101111011
1,000100010100
1,010100000000
1,100110000100
2,111111101001
1,010110000001
1,000100011000
0,000000000000
2,101110111111
2,111111111110
2,010011010111
0,000000000000
0,000000000000
2,011111110101
2,111111101111
2,101101111011
2,010111111101
2,111111111000
2,111111111110
0,000000000000
2,101111111100
2,011111111111
1,100100110000
0,000000000000
2,111011011101
0,000000000000
2,110101111111
0,000000000000
1,001010000000
1,000011011001
2,111111110111
1,001110000110
2,111111111111
2,011110111011
2,100111111101
1,000010110111
2,111101011110
0,000000000000
2,101111101101
1,000110001011
0,000000000000
0,000000000000
1,000100000000
2,111111111101
1,110010000010
1,000100101001
0,000000000000
0,000000000000
2,111110011111
2,110111111011
2,111111111101
1,010010001001
0,000000000000
2,110111111111
2,011110101101
2,101111101011
1,111010000010
2,101011010100
2,111111010110
0,000000000000
2,110111110111
1,010000100101
0,000000000000
2,111111011011
0,000000000000
0,000000000000
2,111100101011
1,000100001000
2,101110111100
2,101111011101
0,000000000000
0,000000000000
0,000000000000
1,000101001101
2,110111111011
1,000010010100
2,110111110001
2,111111001010
2,110111111111
1,001000100000
2,011011000111
2,111111110111
1,010110000010
0,000000000000
1,010000100101
2,111111101010
2,111010100101
0,000000000000
1,000010010000
0,000000000000
2,111111111011
2,011111111111
2,111111111101
2,111110111101
2,111011011011
2,101110111101
2,111111111101
1,011111100000
1,111000100001
1,000000000111
0,000000000000
1,110000000010
0,000000000000
1,000100001000
0,000000000000
2,010111111011
0,000000000000
0,000000000000
2,111111111011
2,111111111111
2,111101010110
0,000000000000
0,000000000000
1,001010100010
2,111111010111
1,000001100000
1,101000011100
0,000000000000
1,110101011000
0,000000000000
2,111100111111
2,111111010111
1,000000101001
0,000000000000
0,000000000000
